Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:58.524000,0 days 01:57:24.616000,3859.1070387890895,210.71666915555556,9803.374912,8,3.183332977777778,True,0,2804.0,6528.0,1909.0
0 days 00:00:58.744000,0 days 01:57:24.836000,3871.2843078354695,202.1611136,10105.874912,8,4.4055552,True,0,2718.0,6441.0,1909.0
0 days 00:00:58.851000,0 days 01:57:24.943000,3877.063888888889,198.0,10253.0,6,5.0,True,0,2683.0031654250174,6400.012247094024,1909.0086849135505
0 days 00:00:58.864000,0 days 01:57:24.956000,3877.758069255355,197.458336,10230.1959456,6,5.1624992,True,0,2679.0,6395.0,1909.0
0 days 00:00:59.091000,0 days 01:57:25.183000,3889.597222222222,188.0,9832.0,5,8.0,True,0,2617.533456353574,6305.078603330896,1908.3256500358063
0 days 00:00:59.144000,0 days 01:57:25.236000,3892.28296077963,185.6812528,9793.906296,5,10.6499968,True,0,2606.0,6283.0,1908.0
0 days 00:00:59.251000,0 days 01:57:25.343000,3897.6416666666664,181.0,9717.0,5,16.0,False,0,2586.2469162180582,6236.823859202665,1907.1857249776003
0 days 00:00:59.284000,0 days 01:57:25.376000,3899.288748100984,180.76428617142858,9668.207237485714,5,18.592852114285716,False,0,2581.0,6222.0,1907.0
0 days 00:00:59.524000,0 days 01:57:25.616000,3911.2165670321997,179.05000045714286,9313.350094628571,5,37.449994971428566,False,0,2554.0,6106.0,1907.0
0 days 00:00:59.531000,0 days 01:57:25.623000,3911.563888888889,179.0,9303.0,5,38.0,False,0,2553.508122489373,6102.481080710893,1907.0085696924466
0 days 00:00:59.704000,0 days 01:57:25.796000,3920.142569852975,179.0,9494.3811792,5,48.812495999999996,False,0,2546.0,6014.0,1907.0
0 days 00:00:59.851000,0 days 01:57:25.943000,3927.475,179.0,9657.0,5,58.0,False,0,2544.0905110022973,5937.572311460503,1906.2051216962952
0 days 00:00:59.904000,0 days 01:57:25.996000,3930.138274679215,179.828124,9732.5249088,5,61.4781208,False,0,2544.0,5910.0,1906.0
0 days 00:01:00.171000,0 days 01:57:26.263000,3943.8305555555553,184.0,10113.0,5,79.0,False,0,2545.991566831086,5771.627548613394,1906.243698795301
